"City","Population","Elevation","AdministrativeDivision","Country"
"Campos",472300,13.,"Rio de Janeiro, Brazil","Brazil"
"Carapicuiba",392294,7.5e2,"São Paulo, Brazil","Brazil"
"Caxias do Sul",446911,7.5e2,"Rio Grande Do Sul, Brazil","Brazil"
"Campina Grande",405072,5.1e2,"Paraiba, Brazil","Brazil"
"Piracicaba",391449,5.5e2,"São Paulo, Brazil","Brazil"
"Cariacica",344100,12.,"Espirito Santo, Brazil","Brazil"
"Bauru",366992,5.3e2,"São Paulo, Brazil","Brazil"
"Itaquaquecetuba",352801,7.4e2,"São Paulo, Brazil","Brazil"
"Montes Claros",332000,6.3e2,"Minas Gerais, Brazil","Brazil"
"Macapa",397913,2.,"Amapa, Brazil","Brazil"
"Ribeirao das Neves",296317,8.1e2,"Minas Gerais, Brazil","Brazil"
"Canoas",323827,20.,"Rio Grande Do Sul, Brazil","Brazil"
"Moji das Cruzes",430901,7.4e2,"São Paulo, Brazil","Brazil"
"Sao Vicente",355542,11.,"São Paulo, Brazil","Brazil"
"Maringa",403063,5.6e2,"Parana, Brazil","Brazil"
"Jundiai",401896,7.2e2,"São Paulo, Brazil","Brazil"
"Pelotas",328275,11.,"Rio Grande Do Sul, Brazil","Brazil"
"Anapolis",366491,1.e3,"Goias, Brazil","Brazil"
"Vitoria da Conquista",346069,9.5e2,"Bahia, Brazil","Brazil"
"Uberaba",322126,7.8e2,"Minas Gerais, Brazil","Brazil"
"Vitoria",355875,3.,"Espirito Santo, Brazil","Brazil"
"Franca",342112,1.e3,"São Paulo, Brazil","Brazil"
"Foz do Iguacu",263508,1.7e2,"Parana, Brazil","Brazil"
"Paulista",303400,44.,"Pernambuco, Brazil","Brazil"
"Porto Velho",304228,65.,"Rondonia, Brazil","Brazil"
"Ponta Grossa",311611,9.6e2,"Parana, Brazil","Brazil"
"Guaruja",311230,36.,"São Paulo, Brazil","Brazil"
"Petropolis",298142,8.7e2,"Rio de Janeiro, Brazil","Brazil"
"Caucaia",325441,28.,"Ceara, Brazil","Brazil"
"Suzano",285280,7.5e2,"São Paulo, Brazil","Brazil"
"Blumenau",309214,56.,"Santa Catarina, Brazil","Brazil"
"Rio Branco",370550,1.4e2,"Acre, Brazil","Brazil"
"Cascavel",316226,7.6e2,"Parana, Brazil","Brazil"
"Limeira",296440,6.e2,"São Paulo, Brazil","Brazil"
"Volta Redonda",262970,3.8e2,"Rio de Janeiro, Brazil","Brazil"
"Barueri",262275,7.5e2,"São Paulo, Brazil","Brazil"
"Taubate",302331,5.8e2,"São Paulo, Brazil","Brazil"
"Santa Maria",249400,98.,"Rio Grande Do Sul, Brazil","Brazil"
"Governador Valadares",278363,1.8e2,"Minas Gerais, Brazil","Brazil"
"Novo Hamburgo",238940,19.,"Rio Grande Do Sul, Brazil","Brazil"
"Caruaru",247800,5.5e2,"Pernambuco, Brazil","Brazil"
"Boa Vista",326419,82.,"Roraima, Brazil","Brazil"
"Gravatai",255762,16.,"Rio Grande Do Sul, Brazil","Brazil"
"Embu",261781,8.e2,"São Paulo, Brazil","Brazil"
"Sao Jose dos Pinhais",236600,9.1e2,"Parana, Brazil","Brazil"
"Ipatinga",257315,2.5e2,"Minas Gerais, Brazil","Brazil"
"Viamao",239384,25.,"Rio Grande Do Sul, Brazil","Brazil"
"Praia Grande",304705,68.,"São Paulo, Brazil","Brazil"
"Juazeiro do Norte",246515,4.e2,"Ceara, Brazil","Brazil"
"Sumare",265955,5.6e2,"São Paulo, Brazil","Brazil"
"Varzea Grande",252709,2.e2,"Mato Grosso, Brazil","Brazil"
"Colombo",247268,1.e3,"Parana, Brazil","Brazil"
"Santa Luzia",205666,7.e2,"Minas Gerais, Brazil","Brazil"
"Taboao da Serra",272177,7.8e2,"São Paulo, Brazil","Brazil"
"Mage",227322,21.,"Rio de Janeiro, Brazil","Brazil"
"Imperatriz",250063,1.3e2,"Maranhao, Brazil","Brazil"
"Mossoro",259886,13.,"Rio Grande do Norte, Brazil","Brazil"
"Sete Lagoas",236228,7.9e2,"Minas Gerais, Brazil","Brazil"
"Camacari",286919,34.,"Bahia, Brazil","Brazil"
"Marilia",232006,6.5e2,"São Paulo, Brazil","Brazil"
"Sao Leopoldo",214210,24.,"Rio Grande Do Sul, Brazil","Brazil"
"Alvorada",195718,20.,"Rio Grande Do Sul, Brazil","Brazil"
"Itabuna",204700,70.,"Bahia, Brazil","Brazil"
"Petrolina",204200,3.8e2,"Pernambuco, Brazil","Brazil"
"Itaborai",225263,13.,"Rio de Janeiro, Brazil","Brazil"
"Lauro de Freitas",194641,12.,"Bahia, Brazil","Brazil"
"Divinopolis",213076,7.3e2,"Minas Gerais, Brazil","Brazil"
"Sao Carlos",241389,8.3e2,"São Paulo, Brazil","Brazil"
