"City","Population","Elevation","AdministrativeDivision","Country"
"Bage",94398,2.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Balneario Camboriu",124557,0,"Santa Catarina, Brazil","Brazil"
"Sinop",132934,3.8e2,"Mato Grosso, Brazil","Brazil"
"Arapongas",116960,8.1e2,"Parana, Brazil","Brazil"
"Patos",106314,2.5e2,"Paraiba, Brazil","Brazil"
"Japeri",93197,57.,"Rio de Janeiro, Brazil","Brazil"
"Guarapari",116278,4.,"Espirito Santo, Brazil","Brazil"
"Crato",92884,4.6e2,"Ceara, Brazil","Brazil"
"Colatina",120677,76.,"Espirito Santo, Brazil","Brazil"
"Valinhos",120258,6.9e2,"São Paulo, Brazil","Brazil"
"Barra do Pirai",96865,3.7e2,"Rio de Janeiro, Brazil","Brazil"
"Bayeux",92257,11.,"Paraiba, Brazil","Brazil"
"Brusque",105503,96.,"Santa Catarina, Brazil","Brazil"
"Tatui",116682,6.2e2,"São Paulo, Brazil","Brazil"
"Itaguai",119143,12.,"Rio de Janeiro, Brazil","Brazil"
"Itajuba",91643,8.9e2,"Minas Gerais, Brazil","Brazil"
"Guaiba",95230,33.,"Rio Grande Do Sul, Brazil","Brazil"
"Araruama",91375,19.,"Rio de Janeiro, Brazil","Brazil"
"Vespasiano",90200,7.e2,"Minas Gerais, Brazil","Brazil"
"Sao Lourenco da Mata",89725,44.,"Pernambuco, Brazil","Brazil"
"Cacapava",91162,5.5e2,"São Paulo, Brazil","Brazil"
"Cambe",89365,5.7e2,"Parana, Brazil","Brazil"
"Assis",101597,5.7e2,"São Paulo, Brazil","Brazil"
"Almirante Tamandare",103204,1.e3,"Parana, Brazil","Brazil"
"Muriae",107263,2.3e2,"Minas Gerais, Brazil","Brazil"
"Umuarama",102704,4.5e2,"Parana, Brazil","Brazil"
"Ituiutaba",88132,5.6e2,"Minas Gerais, Brazil","Brazil"
"Campo Largo",87912,9.5e2,"Parana, Brazil","Brazil"
"Eunapolis",113191,1.8e2,"Bahia, Brazil","Brazil"
"Paulo Afonso",118323,2.7e2,"Bahia, Brazil","Brazil"
"Manacapuru",94175,23.,"Amazonas, Brazil","Brazil"
"Corumba",107347,1.6e2,"Mato Grosso do Sul, Brazil","Brazil"
"Uba",113300,3.6e2,"Minas Gerais, Brazil","Brazil"
"Igarassu",102021,5.,"Pernambuco, Brazil","Brazil"
"Tucurui",85426,1.9e2,"Para, Brazil","Brazil"
"Caraguatatuba",113317,15.,"São Paulo, Brazil","Brazil"
"Itaperuna",85030,1.2e2,"Rio de Janeiro, Brazil","Brazil"
"Sarandi",84697,5.7e2,"Parana, Brazil","Brazil"
"Sao Joao da Boa Vista",89027,7.7e2,"São Paulo, Brazil","Brazil"
"Abreu e Lima",98201,26.,"Pernambuco, Brazil","Brazil"
"Itumbiara",100548,4.9e2,"Goias, Brazil","Brazil"
"Santana",104407,14.,"Amapa, Brazil","Brazil"
"Itaituba",97704,19.,"Para, Brazil","Brazil"
"Paranavai",82472,4.5e2,"Parana, Brazil","Brazil"
"Lavras",101208,9.2e2,"Minas Gerais, Brazil","Brazil"
"Leme",99388,6.1e2,"São Paulo, Brazil","Brazil"
"Novo Gama",103085,"QuantityMagnitude[Missing[""NotAvailable""]]","Goias, Brazil","Brazil"
"Tres Lagoas",113619,3.3e2,"Mato Grosso do Sul, Brazil","Brazil"
"Marituba",125435,"QuantityMagnitude[Missing[""NotAvailable""]]","Para, Brazil","Brazil"
"Maranguape",80792,1.7e2,"Ceara, Brazil","Brazil"
"Itanhaem",96222,6.,"São Paulo, Brazil","Brazil"
"Formosa",79824,9.2e2,"Goias, Brazil","Brazil"
"Esteio",80669,11.,"Rio Grande Do Sul, Brazil","Brazil"
"Moji‐Mirim",91483,6.5e2,"São Paulo, Brazil","Brazil"
"Caieiras",95780,7.7e2,"São Paulo, Brazil","Brazil"
"Campo Mourão",77796,5.8e2,"Parana, Brazil","Brazil"
"Abaetetuba",151934,7.,"Para, Brazil","Brazil"
"Cruzeiro",81082,5.4e2,"São Paulo, Brazil","Brazil"
"Itauna",77100,8.3e2,"Minas Gerais, Brazil","Brazil"
"Sao Joao del Rei",76978,9.1e2,"Minas Gerais, Brazil","Brazil"
"Lorena",87178,5.3e2,"São Paulo, Brazil","Brazil"
"Avare",88385,7.9e2,"São Paulo, Brazil","Brazil"
"Sao Sebastiao",83020,1.8e2,"São Paulo, Brazil","Brazil"
"Embu‐Guacu",67296,7.6e2,"São Paulo, Brazil","Brazil"
"Codo",76209,59.,"Maranhao, Brazil","Brazil"
"Timoteo",81118,4.7e2,"Minas Gerais, Brazil","Brazil"
"Para de Minas",75731,7.8e2,"Minas Gerais, Brazil","Brazil"
"Jatai",88048,7.2e2,"Goias, Brazil","Brazil"
"Votuporonga",91278,5.1e2,"São Paulo, Brazil","Brazil"
"Santana do Livramento",75338,1.9e2,"Rio Grande Do Sul, Brazil","Brazil"
"Sao Mateus",74812,27.,"Espirito Santo, Brazil","Brazil"
"Bacabal",73704,28.,"Maranhao, Brazil","Brazil"
"Acailandia",73386,3.4e2,"Maranhao, Brazil","Brazil"
"Santo Antonio de Jesus",101548,2.1e2,"Bahia, Brazil","Brazil"
"Rio das Ostras",73211,4.,"Rio de Janeiro, Brazil","Brazil"
"Paulinia",100128,5.9e2,"São Paulo, Brazil","Brazil"
"Matao",81439,5.8e2,"São Paulo, Brazil","Brazil"
"Ubatuba",86392,4.,"São Paulo, Brazil","Brazil"
"Primavera do Leste",59293,6.3e2,"Mato Grosso, Brazil","Brazil"
"Planaltina",72193,9.6e2,"Goias, Brazil","Brazil"
"Cachoeira do Sul",71878,99.,"Rio Grande Do Sul, Brazil","Brazil"
"Santa Cruz do Capibaribe",71813,4.4e2,"Pernambuco, Brazil","Brazil"
"Candeias",71665,57.,"Bahia, Brazil","Brazil"
"Caceres",90881,4.e2,"Mato Grosso, Brazil","Brazil"
"Joao Monlevade",71295,8.1e2,"Minas Gerais, Brazil","Brazil"
"Patrocinio",70976,1.e3,"Minas Gerais, Brazil","Brazil"
"Bebedouro",77627,6.e2,"São Paulo, Brazil","Brazil"
"Sao Pedro da Aldeia",70641,3.,"Rio de Janeiro, Brazil","Brazil"
"Nova Lima",87391,8.1e2,"Minas Gerais, Brazil","Brazil"
"Tres Rios",70218,3.1e2,"Rio de Janeiro, Brazil","Brazil"
"Catalao",70212,8.8e2,"Goias, Brazil","Brazil"
"Sao Bento do Sul",69902,8.5e2,"Santa Catarina, Brazil","Brazil"
"Alegrete",78984,92.,"Rio Grande Do Sul, Brazil","Brazil"
"Fazenda Rio Grande",81675,"QuantityMagnitude[Missing[""NotAvailable""]]","Parana, Brazil","Brazil"
"Aruja",83939,8.e2,"São Paulo, Brazil","Brazil"
"Iguatu",69748,2.2e2,"Ceara, Brazil","Brazil"
"Gurupi",69748,2.7e2,"Tocantins, Brazil","Brazil"
"Paragominas",69677,1.3e2,"Para, Brazil","Brazil"
"Tangara da Serra",98828,4.e2,"Mato Grosso, Brazil","Brazil"
"Ijui",79159,3.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Sapiranga",68962,33.,"Rio Grande Do Sul, Brazil","Brazil"
"Vicosa",68680,7.e2,"Minas Gerais, Brazil","Brazil"
"Altamira",68665,1.1e2,"Para, Brazil","Brazil"
"Paracatu",68625,7.7e2,"Minas Gerais, Brazil","Brazil"
"Campo Limpo Paulista",80847,7.6e2,"São Paulo, Brazil","Brazil"
"Caratinga",67934,6.1e2,"Minas Gerais, Brazil","Brazil"
"Senador Canedo",67900,7.8e2,"Goias, Brazil","Brazil"
"Lins",76092,4.6e2,"São Paulo, Brazil","Brazil"
"Santa Ines",67424,27.,"Maranhao, Brazil","Brazil"
"Lajeado",78486,65.,"Rio Grande Do Sul, Brazil","Brazil"
"Alfenas",67162,8.4e2,"Minas Gerais, Brazil","Brazil"
"Jaboticabal",75820,6.1e2,"São Paulo, Brazil","Brazil"
"Balsas",87057,2.6e2,"Maranhao, Brazil","Brazil"
"Parintins",66236,3.,"Amazonas, Brazil","Brazil"
"Sao Cristovao",85814,4.,"Sergipe, Brazil","Brazil"
"Redencao",65102,2.2e2,"Para, Brazil","Brazil"
"Tres Coracoes",80000,9.e2,"Minas Gerais, Brazil","Brazil"
"Braganca",64761,21.,"Para, Brazil","Brazil"
"Itapira",72967,6.2e2,"São Paulo, Brazil","Brazil"
"Curvelo",64375,6.5e2,"Minas Gerais, Brazil","Brazil"
"Aracruz",93325,62.,"Espirito Santo, Brazil","Brazil"
"Cataguases",74171,1.9e2,"Minas Gerais, Brazil","Brazil"
"Itabaiana",91873,1.8e2,"Sergipe, Brazil","Brazil"
"Ariquemes",105896,1.e2,"Rondonia, Brazil","Brazil"
"Telemaco Borba",63544,7.6e2,"Parana, Brazil","Brazil"
"Carpina",63480,1.7e2,"Pernambuco, Brazil","Brazil"
"Vilhena",63346,6.e2,"Rondonia, Brazil","Brazil"
"Valenca",63231,24.,"Bahia, Brazil","Brazil"
"Santo Angelo",62893,2.3e2,"Rio Grande Do Sul, Brazil","Brazil"
"Pato Branco",79011,7.9e2,"Parana, Brazil","Brazil"
"Gravata",61911,4.2e2,"Pernambuco, Brazil","Brazil"
"Cacador",75048,9.2e2,"Santa Catarina, Brazil","Brazil"
"Cruz Alta",62776,4.4e2,"Rio Grande Do Sul, Brazil","Brazil"
"Valenca",73445,5.6e2,"Rio de Janeiro, Brazil","Brazil"
"Mococa",68797,6.2e2,"São Paulo, Brazil","Brazil"
"Itapeva",92710,6.9e2,"São Paulo, Brazil","Brazil"
"Francisco Beltrao",84437,5.6e2,"Parana, Brazil","Brazil"
"Itapetinga",60723,2.7e2,"Bahia, Brazil","Brazil"
"Pirassununga",74587,5.9e2,"São Paulo, Brazil","Brazil"
"Saquarema",60364,7.,"Rio de Janeiro, Brazil","Brazil"
"Itapipoca",60240,1.e2,"Ceara, Brazil","Brazil"
"Caldas Novas",60070,6.8e2,"Goias, Brazil","Brazil"
"Manhuacu",59908,6.5e2,"Minas Gerais, Brazil","Brazil"
"Aquiraz",59894,35.,"Ceara, Brazil","Brazil"
"Tupa",65651,4.9e2,"São Paulo, Brazil","Brazil"
"Fernandopolis",68120,5.e2,"São Paulo, Brazil","Brazil"
"Guanambi",84645,5.1e2,"Bahia, Brazil","Brazil"
"Seropedica",59069,55.,"Rio de Janeiro, Brazil","Brazil"
"Arcoverde",58949,6.6e2,"Pernambuco, Brazil","Brazil"
"Janauba",58738,5.3e2,"Minas Gerais, Brazil","Brazil"
"Unai",58677,5.8e2,"Minas Gerais, Brazil","Brazil"
"Cacoal",87877,2.1e2,"Rondonia, Brazil","Brazil"
"Formiga",58365,8.4e2,"Minas Gerais, Brazil","Brazil"
"Mairipora",92323,7.7e2,"São Paulo, Brazil","Brazil"
"Irece",62527,7.e2,"Bahia, Brazil","Brazil"
"Ouro Preto",57946,1.2e3,"Minas Gerais, Brazil","Brazil"
"Lencois Paulista",66131,5.6e2,"São Paulo, Brazil","Brazil"
"Cianorte",57321,4.9e2,"Parana, Brazil","Brazil"
"Nova Serrana",73699,6.9e2,"Minas Gerais, Brazil","Brazil"
"Carazinho",59317,5.9e2,"Rio Grande Do Sul, Brazil","Brazil"
"Ponta Pora",56684,6.5e2,"Mato Grosso do Sul, Brazil","Brazil"
"Serra Talhada",56667,4.3e2,"Pernambuco, Brazil","Brazil"
"Sao Sebastiao do Paraiso",56659,9.7e2,"Minas Gerais, Brazil","Brazil"
"Vinhedo",72550,7.2e2,"São Paulo, Brazil","Brazil"
"Santa Rosa",56156,2.8e2,"Rio Grande Do Sul, Brazil","Brazil"
"Nova Vicosa",55980,3.,"Bahia, Brazil","Brazil"
"Vacaria",55851,9.5e2,"Rio Grande Do Sul, Brazil","Brazil"
"Sao Gabriel",55434,96.,"Rio Grande Do Sul, Brazil","Brazil"
"Itacoatiara",55404,22.,"Amazonas, Brazil","Brazil"
"Mariana",58233,7.3e2,"Minas Gerais, Brazil","Brazil"
"Senhor do Bonfim",55293,5.7e2,"Bahia, Brazil","Brazil"
"Pacatuba",72299,2.4e2,"Ceara, Brazil","Brazil"
"Goiana",78618,13.,"Pernambuco, Brazil","Brazil"
"Viana",64999,29.,"Espirito Santo, Brazil","Brazil"
"Cajamar",71805,8.2e2,"São Paulo, Brazil","Brazil"
"Caico",54986,1.6e2,"Rio Grande do Norte, Brazil","Brazil"
"Sao Borja",61671,84.,"Rio Grande Do Sul, Brazil","Brazil"
"Picos",54648,2.1e2,"Piaui, Brazil","Brazil"
"Penapolis",62071,4.1e2,"São Paulo, Brazil","Brazil"
"Rio Largo",53542,1.3e2,"Alagoas, Brazil","Brazil"
"Peruíbe",65226,9.,"São Paulo, Brazil","Brazil"
"Belo Jardim",53285,6.2e2,"Pernambuco, Brazil","Brazil"
"Rio do Sul",53248,3.4e2,"Santa Catarina, Brazil","Brazil"
"Quixada",52991,1.9e2,"Ceara, Brazil","Brazil"
"Jacobina",52939,4.8e2,"Bahia, Brazil","Brazil"
"Sao Jose de Ribamar",52699,24.,"Maranhao, Brazil","Brazil"
"Cascavel",52357,37.,"Ceara, Brazil","Brazil"
"Campo Bom",52181,1.7e2,"Rio Grande Do Sul, Brazil","Brazil"
"Santo Antonio do Descoberto",63248,8.9e2,"Goias, Brazil","Brazil"
"Estancia",51901,37.,"Sergipe, Brazil","Brazil"
"Bertioga",56555,"QuantityMagnitude[Missing[""NotAvailable""]]","São Paulo, Brazil","Brazil"
"Camboriu",51101,49.,"Santa Catarina, Brazil","Brazil"
"Andradina",57250,3.7e2,"São Paulo, Brazil","Brazil"
"Cruzeiro do Sul",50950,1.9e2,"Acre, Brazil","Brazil"
"Dias dAvila",50758,42.,"Bahia, Brazil","Brazil"
"Concordia",50693,5.8e2,"Santa Catarina, Brazil","Brazil"
"Marechal Deodoro",50571,17.,"Alagoas, Brazil","Brazil"
"Taquaritinga",56587,5.4e2,"São Paulo, Brazil","Brazil"
"Montenegro",50470,81.,"Rio Grande Do Sul, Brazil","Brazil"
"Pirapora",50439,5.1e2,"Minas Gerais, Brazil","Brazil"
"Rolandia",50185,7.3e2,"Parana, Brazil","Brazil"
"Mirassol",57857,5.6e2,"São Paulo, Brazil","Brazil"
"Palmeira dos Indios",74208,1.4e2,"Alagoas, Brazil","Brazil"
"Sousa",50024,2.3e2,"Paraiba, Brazil","Brazil"
"Itamaraju",50021,93.,"Bahia, Brazil","Brazil"
"Breves",49960,10.,"Para, Brazil","Brazil"
"Goianesia",49934,6.6e2,"Goias, Brazil","Brazil"
"Navegantes",72772,4.,"Santa Catarina, Brazil","Brazil"
"Crateus",49847,2.9e2,"Ceara, Brazil","Brazil"
"Ponte Nova",49845,4.4e2,"Minas Gerais, Brazil","Brazil"
"Benevides",49794,33.,"Para, Brazil","Brazil"
"Cosmopolis",66807,5.6e2,"São Paulo, Brazil","Brazil"
"Cabedelo",65634,4.,"Paraiba, Brazil","Brazil"
"Sorriso",82792,"QuantityMagnitude[Missing[""NotAvailable""]]","Mato Grosso, Brazil","Brazil"
"Escada",49474,1.e2,"Pernambuco, Brazil","Brazil"
"Batatais",60589,8.5e2,"São Paulo, Brazil","Brazil"
"Icara",49304,34.,"Santa Catarina, Brazil","Brazil"
"Capanema",49117,21.,"Para, Brazil","Brazil"
"Uniao da Victoria",51858,7.5e2,"Parana, Brazil","Brazil"
"Ipojuca",48392,13.,"Pernambuco, Brazil","Brazil"
"Paracambi",48129,3.1e2,"Rio de Janeiro, Brazil","Brazil"
"Campo Belo",51544,8.3e2,"Minas Gerais, Brazil","Brazil"
"Biguacu",48039,17.,"Santa Catarina, Brazil","Brazil"
"Sao Roque",48028,7.9e2,"São Paulo, Brazil","Brazil"
"Cameta",47984,16.,"Para, Brazil","Brazil"
"Floriano",47962,1.2e2,"Piaui, Brazil","Brazil"
"Farroupilha",47909,7.6e2,"Rio Grande Do Sul, Brazil","Brazil"
"Ibitinga",57649,4.8e2,"São Paulo, Brazil","Brazil"
"Barra do Garcas",47687,3.7e2,"Mato Grosso, Brazil","Brazil"
"Camaqua",47455,56.,"Rio Grande Do Sul, Brazil","Brazil"
"Jacunda",56781,97.,"Para, Brazil","Brazil"
"Ararangua",47441,9.,"Santa Catarina, Brazil","Brazil"
"Guarabira",47377,1.e2,"Paraiba, Brazil","Brazil"
"Pedro Leopoldo",47338,7.7e2,"Minas Gerais, Brazil","Brazil"
"Castro",47294,9.9e2,"Parana, Brazil","Brazil"
"Tefe",62662,40.,"Amazonas, Brazil","Brazil"
"Porto Ferreira",54761,5.4e2,"São Paulo, Brazil","Brazil"
"Bezerros",46955,4.8e2,"Pernambuco, Brazil","Brazil"
"Amparo",70280,6.8e2,"São Paulo, Brazil","Brazil"
"Barra do Corda",46861,1.e2,"Maranhao, Brazil","Brazil"
"Sao Miguel dos Campos",46708,7.,"Alagoas, Brazil","Brazil"
"Registro",56280,12.,"São Paulo, Brazil","Brazil"
"Moreno",46407,1.1e2,"Pernambuco, Brazil","Brazil"
"Parobe",46179,68.,"Rio Grande Do Sul, Brazil","Brazil"
"Cruz das Almas",46121,2.1e2,"Bahia, Brazil","Brazil"
"Frutal",53468,5.2e2,"Minas Gerais, Brazil","Brazil"
"Cidade Ocidental",55915,"QuantityMagnitude[Missing[""NotAvailable""]]","Goias, Brazil","Brazil"
"Itaberaba",45845,2.5e2,"Bahia, Brazil","Brazil"
"Indaial",55979,71.,"Santa Catarina, Brazil","Brazil"
"Tailandia",45700,47.,"Para, Brazil","Brazil"
"Olimpia",53360,4.9e2,"São Paulo, Brazil","Brazil"
"Lagarto",45104,1.6e2,"Sergipe, Brazil","Brazil"
"Santiago",44993,4.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Itarare",50105,6.6e2,"São Paulo, Brazil","Brazil"
"Chapadinha",44819,1.e2,"Maranhao, Brazil","Brazil"
"Guaxupe",44743,8.9e2,"Minas Gerais, Brazil","Brazil"
"Nova Odessa",56764,5.7e2,"São Paulo, Brazil","Brazil"
"Cachoeiras de Macacu",44676,86.,"Rio de Janeiro, Brazil","Brazil"
"Jales",48922,4.9e2,"São Paulo, Brazil","Brazil"
"Palmares",44590,1.5e2,"Pernambuco, Brazil","Brazil"
"Cajazeiras",44527,3.e2,"Paraiba, Brazil","Brazil"
"Uniao dos Palmares",44513,1.4e2,"Alagoas, Brazil","Brazil"
"Campos do Jordao",50852,1.6e3,"São Paulo, Brazil","Brazil"
"Taquara",44394,38.,"Rio Grande Do Sul, Brazil","Brazil"
"Caninde",44392,1.6e2,"Ceara, Brazil","Brazil"
"Sao Jose do Rio Pardo",54388,7.1e2,"São Paulo, Brazil","Brazil"
"Pacajus",44339,56.,"Ceara, Brazil","Brazil"
"Leopoldina",51136,2.4e2,"Minas Gerais, Brazil","Brazil"
"Serrinha",44166,3.9e2,"Bahia, Brazil","Brazil"
"Tres Pontas",43966,8.9e2,"Minas Gerais, Brazil","Brazil"
"Penedo",43880,29.,"Alagoas, Brazil","Brazil"
"Cornelio Procopio",43865,6.6e2,"Parana, Brazil","Brazil"
"Pesqueira",43848,8.7e2,"Pernambuco, Brazil","Brazil"
"Congonhas",48519,9.4e2,"Minas Gerais, Brazil","Brazil"
"Santo Amaro",43461,12.,"Bahia, Brazil","Brazil"
"Coari",43262,26.,"Amazonas, Brazil","Brazil"
"Brumado",43259,4.3e2,"Bahia, Brazil","Brazil"
"Camocim",43234,9.,"Ceara, Brazil","Brazil"
"Lagoa da Prata",43177,6.6e2,"Minas Gerais, Brazil","Brazil"
"Timbauba",54115,1.1e2,"Pernambuco, Brazil","Brazil"
"Limoeiro",43093,1.6e2,"Pernambuco, Brazil","Brazil"
"Sao Joaquim da Barra",50110,6.2e2,"São Paulo, Brazil","Brazil"
"Piripiri",42862,1.6e2,"Piaui, Brazil","Brazil"
"Coruripe",42680,49.,"Alagoas, Brazil","Brazil"
"Tiangua",42648,7.8e2,"Ceara, Brazil","Brazil"
"Guapimirim",42613,30.,"Rio de Janeiro, Brazil","Brazil"
"Monte Alto",49456,6.5e2,"São Paulo, Brazil","Brazil"
"Horizonte",42457,72.,"Ceara, Brazil","Brazil"
"Ibipora",42454,4.8e2,"Parana, Brazil","Brazil"
"Inhumas",42421,7.7e2,"Goias, Brazil","Brazil"
"Lagoa Santa",42386,7.5e2,"Minas Gerais, Brazil","Brazil"
"Gaspar",42359,37.,"Santa Catarina, Brazil","Brazil"
"Irati",42196,8.2e2,"Parana, Brazil","Brazil"
"Salgueiro",41843,4.4e2,"Pernambuco, Brazil","Brazil"
"Alta Floresta",50082,2.9e2,"Mato Grosso, Brazil","Brazil"
"Aracati",41742,9.,"Ceara, Brazil","Brazil"
"Bom Jesus da Lapa",41705,4.3e2,"Bahia, Brazil","Brazil"
"Pinheiro",41467,6.,"Maranhao, Brazil","Brazil"
"Coroata",40850,34.,"Maranhao, Brazil","Brazil"
"Russas",40839,22.,"Ceara, Brazil","Brazil"
"Mineiros",40683,7.7e2,"Goias, Brazil","Brazil"
"Sao Lourenco",40441,8.9e2,"Minas Gerais, Brazil","Brazil"
"Venancio Aires",40441,46.,"Rio Grande Do Sul, Brazil","Brazil"
"Mongagua",52492,41.,"São Paulo, Brazil","Brazil"
"Catu",40275,1.2e2,"Bahia, Brazil","Brazil"
"Vargem Grande Paulista",48720,"QuantityMagnitude[Missing[""NotAvailable""]]","São Paulo, Brazil","Brazil"
"Macaiba",40111,35.,"Rio Grande do Norte, Brazil","Brazil"
"Santos Dumont",39927,8.9e2,"Minas Gerais, Brazil","Brazil"
"Itabirito",39860,1.e3,"Minas Gerais, Brazil","Brazil"
"Laguna",44650,36.,"Santa Catarina, Brazil","Brazil"
"Araripina",39832,6.6e2,"Pernambuco, Brazil","Brazil"
"Navirai",50692,2.8e2,"Mato Grosso do Sul, Brazil","Brazil"
"Rio Bonito",39749,68.,"Rio de Janeiro, Brazil","Brazil"
"Estancia Velha",39695,43.,"Rio Grande Do Sul, Brazil","Brazil"
"Januaria",39673,4.6e2,"Minas Gerais, Brazil","Brazil"
"Surubim",39626,3.6e2,"Pernambuco, Brazil","Brazil"
"Canoinhas",39577,7.8e2,"Santa Catarina, Brazil","Brazil"
"Quixeramobim",39576,2.e2,"Ceara, Brazil","Brazil"
"Bom Despacho",39494,7.1e2,"Minas Gerais, Brazil","Brazil"
"Diamantina",47952,1.3e3,"Minas Gerais, Brazil","Brazil"
"Rio Grande da Serra",48302,2.2e2,"São Paulo, Brazil","Brazil"
"Palmas",47674,1.1e3,"Parana, Brazil","Brazil"
"Rolim de Moura",39086,1.6e2,"Rondonia, Brazil","Brazil"
"Videira",39049,7.2e2,"Santa Catarina, Brazil","Brazil"
"Porto Nacional",52510,2.1e2,"Tocantins, Brazil","Brazil"
"Mafra",39005,8.e2,"Santa Catarina, Brazil","Brazil"
"Porto Feliz",51928,5.1e2,"São Paulo, Brazil","Brazil"
"Tramandai",38872,3.,"Rio Grande Do Sul, Brazil","Brazil"
"Monte Carmelo",38674,8.7e2,"Minas Gerais, Brazil","Brazil"
"Monte Mor",55409,5.6e2,"São Paulo, Brazil","Brazil"
"Santa Isabel do Para",38458,29.,"Para, Brazil","Brazil"
"Paraiso",38343,2.7e2,"Tocantins, Brazil","Brazil"
"Acu",38273,48.,"Rio Grande do Norte, Brazil","Brazil"
"Eusebio",38189,34.,"Ceara, Brazil","Brazil"
"Dracena",45847,4.1e2,"São Paulo, Brazil","Brazil"
"Paraguacu Paulista",44794,5.2e2,"São Paulo, Brazil","Brazil"
"Ipiau",47501,1.4e2,"Bahia, Brazil","Brazil"
"Rio Negrinho",37947,8.e2,"Santa Catarina, Brazil","Brazil"
"Santa Cruz do Rio Pardo",46633,4.8e2,"São Paulo, Brazil","Brazil"
"Boituva",55725,6.e2,"São Paulo, Brazil","Brazil"
"Garca",44532,6.5e2,"São Paulo, Brazil","Brazil"
"Capao Bonito",47486,6.9e2,"São Paulo, Brazil","Brazil"
"Piraquara",37579,9.e2,"Parana, Brazil","Brazil"
"Marau",37573,5.9e2,"Rio Grande Do Sul, Brazil","Brazil"
"Currais Novos",37365,3.4e2,"Rio Grande do Norte, Brazil","Brazil"
"Pedreira",45579,7.2e2,"São Paulo, Brazil","Brazil"
"Nanuque",37253,99.,"Minas Gerais, Brazil","Brazil"
"Capao da Canoa",37201,9.,"Rio Grande Do Sul, Brazil","Brazil"
"Pederneiras",44910,5.e2,"São Paulo, Brazil","Brazil"
"Beberibe",37025,16.,"Ceara, Brazil","Brazil"
"Coelho Neto",36917,57.,"Maranhao, Brazil","Brazil"
"Presidente Epitacio",43535,3.e2,"São Paulo, Brazil","Brazil"
"Jaguaquara",36585,6.6e2,"Bahia, Brazil","Brazil"
"Camacan",33197,1.7e2,"Bahia, Brazil","Brazil"
"Nova Andradina",51764,4.1e2,"Mato Grosso do Sul, Brazil","Brazil"
"Espirito Santo do Pinhal",43897,8.7e2,"São Paulo, Brazil","Brazil"
"Xanxere",47679,8.4e2,"Santa Catarina, Brazil","Brazil"
"Artur Nogueira",50246,6.5e2,"São Paulo, Brazil","Brazil"
"Ituverava",40994,6.1e2,"São Paulo, Brazil","Brazil"
"Imbituba",40170,8.,"Santa Catarina, Brazil","Brazil"
"Serrana",42784,5.9e2,"São Paulo, Brazil","Brazil"
"Sao Manuel",40367,6.9e2,"São Paulo, Brazil","Brazil"
"Capivari",53152,5.1e2,"São Paulo, Brazil","Brazil"
"Mairinque",46015,9.2e2,"São Paulo, Brazil","Brazil"
"Rosario do Sul",35787,1.1e2,"Rio Grande Do Sul, Brazil","Brazil"
"Araquari",31030,13.,"Santa Catarina, Brazil","Brazil"
"Laranjal do Jari",45712,8.,"Amapa, Brazil","Brazil"
"Orlandia",42678,7.2e2,"São Paulo, Brazil","Brazil"
"Aparecida",36217,5.3e2,"São Paulo, Brazil","Brazil"
"Sape",35457,72.,"Paraiba, Brazil","Brazil"
"Marechal Candido Rondon",35451,4.1e2,"Parana, Brazil","Brazil"
"Presidente Venceslau",39407,4.1e2,"São Paulo, Brazil","Brazil"
"Aquidauana",35379,1.5e2,"Mato Grosso do Sul, Brazil","Brazil"
"Barreiros",35111,38.,"Pernambuco, Brazil","Brazil"
"Sao Francisco do Sul",35076,18.,"Santa Catarina, Brazil","Brazil"
"Bocaiuva",34999,6.9e2,"Minas Gerais, Brazil","Brazil"
"Vargem Grande do Sul",34969,7.4e2,"São Paulo, Brazil","Brazil"
"Canela",34961,8.3e2,"Rio Grande Do Sul, Brazil","Brazil"
"Jaru",34890,1.6e2,"Rondonia, Brazil","Brazil"
"Pontal",45978,5.e2,"São Paulo, Brazil","Brazil"
"Dom Pedrito",34759,1.4e2,"Rio Grande Do Sul, Brazil","Brazil"
"Jacarezinho",39093,5.1e2,"Parana, Brazil","Brazil"
"Itapolis",42343,5.5e2,"São Paulo, Brazil","Brazil"
"Barra Bonita",36321,5.4e2,"São Paulo, Brazil","Brazil"
"Jaguariuna",51907,6.e2,"São Paulo, Brazil","Brazil"
"Curitibanos",34310,1.e3,"Santa Catarina, Brazil","Brazil"
"Paranaiba",34247,3.7e2,"Mato Grosso do Sul, Brazil","Brazil"
"Joao Pinheiro",34209,7.7e2,"Minas Gerais, Brazil","Brazil"
"Santo Antonio da Platina",34194,4.9e2,"Parana, Brazil","Brazil"
"Oriximina",34189,20.,"Para, Brazil","Brazil"
"Santa Isabel",54926,6.6e2,"São Paulo, Brazil","Brazil"
"Paraiba do Sul",41088,3.5e2,"Rio de Janeiro, Brazil","Brazil"
"Medianeira",34138,3.8e2,"Parana, Brazil","Brazil"
"Barbalha",34133,4.5e2,"Ceara, Brazil","Brazil"
"Guaira",34092,5.1e2,"São Paulo, Brazil","Brazil"
"Paicandu",34076,4.5e2,"Parana, Brazil","Brazil"
